"","sp.","site","quadrat","tag","x","y","height0","height1","pesticide","exclosure","growth.form","growth.habit","dispersal.mode","mycor.type","shade.tolerance","leaf.lifespan","surv0","surv1","census","quad.unique","plot","quad.sp","A.sum","A.con","A.het","quad.census","quad.census.sp","sum.dens","con.dens","S.con","S.het","lg_A.con","lg_A.het","lg_A.sum","lg_S.con","lg_S.het","lg_height0"
"3646","TIAM",2,302,2016,0.68,0.2,4,6,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_302","2_0","2_0_302_TIAM",4486.11724648914,1559.34433528365,2926.77291120549,"2_0_302_16fa","2_0_302_16fa_TIAM",21,5,4,16,0.657458566598629,-1.66804359267898,-1.33477369867993,-0.1643495895796,0.561525522530353,-0.332358117077464
"3648","TIAM",1,302,2007,0.55,0.25,5,4,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_302","1_0","1_0_302_TIAM",5008.16999903143,2185.47674648247,2822.69325254896,"1_0_302_16fa","1_0_302_16fa_TIAM",24,16,15,8,0.7947742361182,-1.80281028843902,-0.684415263698573,1.19212312114801,-0.336946311916534,0.147699762481336
"3649","TIAM",1,302,2008,0.56,0.3,5,6,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_302","1_0","1_0_302_TIAM",5008.16999903143,2185.47674648247,2822.69325254896,"1_0_302_16fa","1_0_302_16fa_TIAM",24,16,15,8,0.7947742361182,-1.80281028843902,-0.684415263698573,1.19212312114801,-0.336946311916534,0.147699762481336
"3651","TIAM",1,302,2010,0.88,0.54,5,3.5,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_302","1_1","1_1_302_TIAM",5318.39692506647,1761.62558407973,3556.77134098673,"1_1_302_16fa","1_1_302_16fa_TIAM",17,11,10,6,0.70707104600468,-0.942445307135564,-0.329343026687655,0.755153611458568,-0.691982355343899,0.147699762481336
"3653","TIAM",3,204,4006,0.4,0.03,4,5,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_0_204","3_0","3_0_204_TIAM",4725.91198049483,855.698237327422,3870.2137431674,"3_0_204_16fa","3_0_204_16fa_TIAM",16,7,6,9,0.413431105478487,-0.628105028485704,-1.02713218174273,0.22804613679264,-0.188101771360311,-0.332358117077464
"3655","TIAM",2,204,4035,0.8,0.46,4,0,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_204","2_0","2_0_204_TIAM",4289.84552922449,1088.19544574199,3201.6500834825,"2_0_204_16fa","2_0_204_16fa_TIAM",32,15,14,17,0.511155404091958,-1.33394224519263,-1.59907412478437,1.1168579517686,0.642274157764445,-0.332358117077464
"3656","TIAM",1,503,3011,0.12,0.14,4,5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_503","1_0","1_0_503_TIAM",4106.38150802374,1732.63640036309,2373.74510766066,"1_0_503_16fa","1_0_503_16fa_TIAM",17,6,5,11,0.700321627111111,-2.44753045833611,-1.85729916704339,0.0482747874860802,0.0694669030625142,-0.332358117077464
"3658","TIAM",1,302,2020,0.38,0.9,5,5.5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_302","1_0","1_0_302_TIAM",5008.16999903143,2185.47674648247,2822.69325254896,"1_0_302_16fa","1_0_302_16fa_TIAM",24,16,15,8,0.7947742361182,-1.80281028843902,-0.684415263698573,1.19212312114801,-0.336946311916534,0.147699762481336
"3659","TIAM",2,407,7017,0.15,0.22,5,6,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_407","2_0","2_0_407_TIAM",5655.213553589,1243.21833708486,4411.99521650414,"2_0_407_16fa","2_0_407_16fa_TIAM",26,12,11,14,0.565314158480333,-0.140469451285849,0.0334366163616614,0.85662674582279,0.38470548334162,0.147699762481336
"3661","TIAM",1,402,2008,0.77,0.45,3,0,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_402","1_1","1_1_402_TIAM",5489.10016722108,2004.5395894356,3484.56057778548,"1_1_402_16fa","1_1_402_16fa_TIAM",18,15,14,3,0.759618263273345,-1.01878653509306,-0.142698503232538,1.1168579517686,-1.4825608213204,-0.951260365764085
"3663","TIAM",1,505,5010,0.9,0.33,4,0,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_505","1_1","1_1_505_TIAM",5349.32360941957,2208.01275222848,3141.31085719109,"1_1_505_16fa","1_1_505_16fa_TIAM",15,5,4,10,0.798947712066706,-1.404755995961,-0.295087911040267,-0.1643495895796,-0.0534555062511097,-0.332358117077464
"3664","TIAM",1,207,7012,0.33,0.55,5,0,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_0_207","1_0","1_0_207_TIAM",5294.53426934364,2193.07587514634,3101.4583941973,"1_0_207_16fa","1_0_207_16fa_TIAM",29,8,7,21,0.796186317553644,-1.45227645001274,-0.355910279476303,0.383771162811304,0.92576496342987,0.147699762481336
"3665","TIAM",2,406,6015,0.47,0.92,5,7,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_406","2_0","2_0_406_TIAM",6445.36580270078,2161.2760373487,4284.08976535208,"2_0_406_16fa","2_0_406_16fa_TIAM",18,14,13,4,0.790244298022798,-0.249964226661207,0.806091431168665,1.03639809512935,-1.16732224104129,0.147699762481336
"3670","TIAM",3,302,2010,0.3,0.35,4,5,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_302","3_1","3_1_302_TIAM",5709.4173428032,2124.09498763354,3585.32235516966,"3_1_302_16fa","3_1_302_16fa_TIAM",14,6,5,8,0.783184929116611,-0.912687898609505,0.0897926078828768,0.0482747874860802,-0.336946311916534,-0.332358117077464
"3675","TIAM",3,304,4008,0.4,0.2,5,4,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_304","3_1","3_1_304_TIAM",5209.91526282827,1696.98864235875,3512.92662046953,"3_1_304_16fa","3_1_304_16fa_TIAM",21,11,10,10,0.691865482009559,-0.988610941932144,-0.451094839522029,0.755153611458568,-0.0534555062511097,0.147699762481336
"3679","TIAM",2,304,4012,0,0.82,4,4,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_304","2_0","2_0_304_TIAM",5105.17321762053,1435.20324734488,3669.96997027566,"2_0_304_16fa","2_0_304_16fa_TIAM",13,9,8,4,0.623716830626435,-0.825836600280693,-0.571079439710228,0.521130370497566,-1.16732224104129,-0.332358117077464
"3682","TIAM",1,204,4022,0.13,0.85,4,4,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_204","1_1","1_1_204_TIAM",5289.02916676844,1504.81221950793,3784.2169472605,"1_1_204_16fa","1_1_204_16fa_TIAM",20,4,3,16,0.642979911217818,-0.711739332390295,-0.362056328594757,-0.424580795525405,0.561525522530353,-0.332358117077464
"3684","TIAM",3,304,4017,0.2,0.85,5,0,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","3_1_304","3_1","3_1_304_TIAM",5209.91526282827,1696.98864235875,3512.92662046953,"3_1_304_16fa","3_1_304_16fa_TIAM",21,11,10,10,0.691865482009559,-0.988610941932144,-0.451094839522029,0.755153611458568,-0.0534555062511097,0.147699762481336
"3685","TIAM",2,402,2029,0.3,0.5,3,0,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_1_402","2_1","2_1_402_TIAM",6306.37489625378,1631.59220309803,4674.78269315575,"2_1_402_16fa","2_1_402_16fa_TIAM",25,3,2,22,0.67588041888198,0.0748645780057592,0.677297142965907,-0.760077170850629,0.988562702558803,-0.951260365764085
"3687","TIAM",1,103,3010,1,0.9,6,6,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_103","1_1","1_1_103_TIAM",4586.52025259141,1863.68763969032,2722.83261290109,"1_1_103_16fa","1_1_103_16fa_TIAM",15,9,8,6,0.729980688533725,-1.93686909683751,-1.20400813909498,0.521130370497566,-0.691982355343899,0.539935609929693
"3688","TIAM",1,103,3011,0.7,0.42,5,5.5,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_103","1_1","1_1_103_TIAM",4586.52025259141,1863.68763969032,2722.83261290109,"1_1_103_16fa","1_1_103_16fa_TIAM",15,9,8,6,0.729980688533725,-1.93686909683751,-1.20400813909498,0.521130370497566,-0.691982355343899,0.147699762481336
"3689","TIAM",1,103,3012,0.66,0.7,4,0,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_103","1_1","1_1_103_TIAM",4586.52025259141,1863.68763969032,2722.83261290109,"1_1_103_16fa","1_1_103_16fa_TIAM",15,9,8,6,0.729980688533725,-1.93686909683751,-1.20400813909498,0.521130370497566,-0.691982355343899,-0.332358117077464
"3690","TIAM",1,302,2004,0.4,0.07,4,4.5,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_302","1_1","1_1_302_TIAM",5318.39692506647,1761.62558407973,3556.77134098673,"1_1_302_16fa","1_1_302_16fa_TIAM",17,11,10,6,0.70707104600468,-0.942445307135564,-0.329343026687655,0.755153611458568,-0.691982355343899,-0.332358117077464
"3691","TIAM",1,509,9007,0.02,0,4,4,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_509","1_1","1_1_509_TIAM",5047.17101567475,2038.09275572722,3009.07825994753,"1_1_509_16fa","1_1_509_16fa_TIAM",16,5,4,11,0.766371140177485,-1.56482220618693,-0.638585903808238,-0.1643495895796,0.0694669030625142,-0.332358117077464
"3693","TIAM",2,105,5012,0.07,1,3,0,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_105","2_0","2_0_105_TIAM",4879.16378070079,999.104702411014,3880.05907828977,"2_0_105_16fa","2_0_105_16fa_TIAM",10,4,3,6,0.476424219887532,-0.618648961415132,-0.838591906660231,-0.424580795525405,-0.691982355343899,-0.951260365764085
"3697","TIAM",1,208,8013,0.67,0.81,4,4,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_208","1_1","1_1_208_TIAM",4912.00307319841,841.382031789115,4070.6210414093,"1_1_208_16fa","1_1_208_16fa_TIAM",14,4,3,10,0.406572296338303,-0.440200865689422,-0.798961962699873,-0.424580795525405,-0.0534555062511097,-0.332358117077464
"3698","TIAM",2,406,6009,0.22,0.48,3,0,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_406","2_0","2_0_406_TIAM",6445.36580270078,2161.2760373487,4284.08976535208,"2_0_406_16fa","2_0_406_16fa_TIAM",18,14,13,4,0.790244298022798,-0.249964226661207,0.806091431168665,1.03639809512935,-1.16732224104129,-0.951260365764085
"3700","TIAM",2,408,8038,0.93,0.81,5,5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_408","2_0","2_0_408_TIAM",6764.60640946675,855.11847039757,5909.48793906918,"2_0_408_16fa","2_0_408_16fa_TIAM",22,7,6,15,0.413155576693551,0.947194715146387,1.09169477034001,0.22804613679264,0.475880118041563,0.147699762481336
"3701","TIAM",2,408,8039,0.46,0.67,5,4,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_408","2_0","2_0_408_TIAM",6764.60640946675,855.11847039757,5909.48793906918,"2_0_408_16fa","2_0_408_16fa_TIAM",22,7,6,15,0.413155576693551,0.947194715146387,1.09169477034001,0.22804613679264,0.475880118041563,0.147699762481336
"3706","TIAM",1,406,6009,1,0.53,4,5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_406","1_0","1_0_406_TIAM",5099.62546424365,1898.93528308004,3200.6901811636,"1_0_406_16fa","1_0_406_16fa_TIAM",20,16,15,4,0.737602280708745,-1.33505829888759,-0.577502991605679,1.19212312114801,-1.16732224104129,-0.332358117077464
"3707","TIAM",1,105,5008,0.02,0.05,3,6,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_105","1_1","1_1_105_TIAM",5257.89828227657,1507.53810937172,3750.36017290485,"1_1_105_16fa","1_1_105_16fa_TIAM",14,6,5,8,0.643716015103083,-0.745188584905971,-0.396932536028745,0.0482747874860802,-0.336946311916534,-0.951260365764085
"3708","TIAM",1,402,2013,0.38,0.28,2,0,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_402","1_1","1_1_402_TIAM",5489.10016722108,2004.5395894356,3484.56057778548,"1_1_402_16fa","1_1_402_16fa_TIAM",18,15,14,3,0.759618263273345,-1.01878653509306,-0.142698503232538,1.1168579517686,-1.4825608213204,-1.82355409277124
"3709","TIAM",1,406,6012,0.7,0.62,4,0,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_0_406","1_0","1_0_406_TIAM",5099.62546424365,1898.93528308004,3200.6901811636,"1_0_406_16fa","1_0_406_16fa_TIAM",20,16,15,4,0.737602280708745,-1.33505829888759,-0.577502991605679,1.19212312114801,-1.16732224104129,-0.332358117077464
"3711","TIAM",2,405,5041,0.9,0.64,3,4.5,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_405","2_0","2_0_405_TIAM",5243.16110251837,1494.00053478185,3749.16056773653,"2_0_405_16fa","2_0_405_16fa_TIAM",40,20,19,20,0.640047122568138,-0.746379282891124,-0.413514808267874,1.45235432709382,0.860045369039012,-0.951260365764085
"3713","TIAM",1,406,6010,0.55,0.12,3,0,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_406","1_1","1_1_406_TIAM",5815.32546827725,1675.91936501373,4139.40610326351,"1_1_406_16fa","1_1_406_16fa_TIAM",20,13,12,7,0.686783679838578,-0.377833629535016,0.198378337545647,0.949972980667469,-0.503340351639417,-0.951260365764085
"3714","TIAM",1,407,7016,0.2,0.02,5,5,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_407","1_1","1_1_407_TIAM",5675.21399283884,1369.15751999482,4306.05647284401,"1_1_407_16fa","1_1_407_16fa_TIAM",37,15,14,22,0.604556374750074,-0.230928820241003,0.0542938245526747,1.1168579517686,0.988562702558803,0.147699762481336
"3715","TIAM",1,505,5019,0.97,0.57,4,5,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_505","1_0","1_0_505_TIAM",4788.61004151352,1751.00647113361,3037.60357037991,"1_0_505_16fa","1_0_505_16fa_TIAM",15,8,7,7,0.70461161803591,-1.52970553982523,-0.949268325182897,0.383771162811304,-0.503340351639417,-0.332358117077464
"3716","TIAM",1,406,6019,0.14,0.87,5,0,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_0_406","1_0","1_0_406_TIAM",5099.62546424365,1898.93528308004,3200.6901811636,"1_0_406_16fa","1_0_406_16fa_TIAM",20,16,15,4,0.737602280708745,-1.33505829888759,-0.577502991605679,1.19212312114801,-1.16732224104129,0.147699762481336
"3720","TIAM",1,207,7028,0.64,0.64,5,5,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_207","1_0","1_0_207_TIAM",5294.53426934364,2193.07587514634,3101.4583941973,"1_0_207_16fa","1_0_207_16fa_TIAM",29,8,7,21,0.796186317553644,-1.45227645001274,-0.355910279476303,0.383771162811304,0.92576496342987,0.147699762481336
"3721","TIAM",2,101,1015,0.24,0.73,4,0,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_101","2_0","2_0_101_TIAM",4615.8242920832,1385.16005335149,3230.66423873171,"2_0_101_16fa","2_0_101_16fa_TIAM",21,7,6,14,0.609282321005656,-1.30036520466724,-1.16638171392352,0.22804613679264,0.38470548334162,-0.332358117077464
"3724","TIAM",1,304,4007,0.59,0.63,5,5,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_304","1_1","1_1_304_TIAM",5790.70681800145,1665.65080107172,4125.05601692973,"1_1_304_16fa","1_1_304_16fa_TIAM",14,6,5,8,0.684283765961042,-0.390758826034396,0.173314728633857,0.0482747874860802,-0.336946311916534,0.147699762481336
"3725","TIAM",2,304,4015,0.5,0.7,5,0,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_304","2_0","2_0_304_TIAM",5105.17321762053,1435.20324734488,3669.96997027566,"2_0_304_16fa","2_0_304_16fa_TIAM",13,9,8,4,0.623716830626435,-0.825836600280693,-0.571079439710228,0.521130370497566,-1.16732224104129,0.147699762481336
"3729","TIAM",1,506,6008,0.27,0.5,5,0,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_0_506","1_0","1_0_506_TIAM",5357.77275911353,1881.04278518459,3476.72997392895,"1_0_506_16fa","1_0_506_16fa_TIAM",7,4,3,3,0.733751226600248,-1.02715994734798,-0.285763876523931,-0.424580795525405,-1.4825608213204,0.147699762481336
"3730","TIAM",3,105,5012,0.63,0.71,4,0,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","3_0_105","3_0","3_0_105_TIAM",4611.86961644263,763.740630094901,3848.12898634773,"3_0_105_16fa","3_0_105_16fa_TIAM",15,5,4,10,0.367216657383732,-0.649404388034035,-1.17144555660064,-0.1643495895796,-0.0534555062511097,-0.332358117077464
"3731","TIAM",2,503,3046,0.1,0.6,3,0,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_1_503","2_1","2_1_503_TIAM",6881.49291776735,1490.45716980864,5391.03574795871,"2_1_503_16fa","2_1_503_16fa_TIAM",24,8,7,16,0.63908132938705,0.605442036202772,1.19290606218288,0.383771162811304,0.561525522530353,-0.951260365764085
"3732","TIAM",1,302,2009,0.9,0.5,5,4.5,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_302","1_1","1_1_302_TIAM",5318.39692506647,1761.62558407973,3556.77134098673,"1_1_302_16fa","1_1_302_16fa_TIAM",17,11,10,6,0.70707104600468,-0.942445307135564,-0.329343026687655,0.755153611458568,-0.691982355343899,0.147699762481336
"3733","TIAM",1,303,3011,0.9,0.55,5,5,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_303","1_0","1_0_303_TIAM",4928.17294942221,2120.70882830369,2807.46412111851,"1_0_303_16fa","1_0_303_16fa_TIAM",14,6,5,8,0.782535891760249,-1.82294532659517,-0.779545652198222,0.0482747874860802,-0.336946311916534,0.147699762481336
"3736","TIAM",2,406,6010,0.18,0.45,5,0,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_406","2_0","2_0_406_TIAM",6445.36580270078,2161.2760373487,4284.08976535208,"2_0_406_16fa","2_0_406_16fa_TIAM",18,14,13,4,0.790244298022798,-0.249964226661207,0.806091431168665,1.03639809512935,-1.16732224104129,0.147699762481336
"3737","TIAM",2,301,1034,0.58,0.83,6,6,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_301","2_0","2_0_301_TIAM",4760.67989226124,1671.46962719635,3089.21026506489,"2_0_301_16fa","2_0_301_16fa_TIAM",28,12,11,16,0.685702262069746,-1.46700396795468,-0.983827702171721,0.85662674582279,0.561525522530353,0.539935609929693
"3738","TIAM",1,402,2003,0.23,0.17,3,4,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_402","1_1","1_1_402_TIAM",5489.10016722108,2004.5395894356,3484.56057778548,"1_1_402_16fa","1_1_402_16fa_TIAM",18,15,14,3,0.759618263273345,-1.01878653509306,-0.142698503232538,1.1168579517686,-1.4825608213204,-0.951260365764085
"3739","TIAM",1,506,6020,0.93,0.77,4,0,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_506","1_1","1_1_506_TIAM",5958.34613387935,2519.058073719,3439.28806016034,"1_1_506_16fa","1_1_506_16fa_TIAM",31,13,12,18,0.852564366293021,-1.06745975395698,0.341917606244361,0.949972980667469,0.718655814202628,-0.332358117077464
"3743","TIAM",1,509,9009,0.25,0.17,5,6,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_509","1_0","1_0_509_TIAM",6183.32603160289,2823.42161471113,3359.90441689176,"1_0_509_16fa","1_0_509_16fa_TIAM",19,11,10,8,0.898971182270637,-1.15437385115196,0.560883973643904,0.755153611458568,-0.336946311916534,0.147699762481336
"3744","TIAM",1,408,8017,0.42,0.92,4,5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_408","1_0","1_0_408_TIAM",6045.36181490744,2388.26796153109,3657.09385337635,"1_0_408_16fa","1_0_408_16fa_TIAM",15,10,9,5,0.830873333675076,-0.838917938688685,0.427572503768712,0.64400236875711,-0.909753566618466,-0.332358117077464
"3745","TIAM",2,309,9009,0.8,0.2,5,4.5,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_309","2_0","2_0_309_TIAM",7136.78219979527,1230.73575848942,5906.04644130585,"2_0_309_16fa","2_0_309_16fa_TIAM",17,11,10,6,0.561210324228876,0.945026557117615,1.40810915569036,0.755153611458568,-0.691982355343899,0.147699762481336
"3746","TIAM",2,309,9010,1,0,6,8,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_309","2_0","2_0_309_TIAM",7136.78219979527,1230.73575848942,5906.04644130585,"2_0_309_16fa","2_0_309_16fa_TIAM",17,11,10,6,0.561210324228876,0.945026557117615,1.40810915569036,0.755153611458568,-0.691982355343899,0.539935609929693
"3747","TIAM",1,509,9013,0.94,0.8,4,5,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_509","1_0","1_0_509_TIAM",6183.32603160289,2823.42161471113,3359.90441689176,"1_0_509_16fa","1_0_509_16fa_TIAM",19,11,10,8,0.898971182270637,-1.15437385115196,0.560883973643904,0.755153611458568,-0.336946311916534,-0.332358117077464
"3748","TIAM",1,310,10011,0.02,0.18,3,3,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_310","1_0","1_0_310_TIAM",5503.45894371312,2386.17431570854,3117.28462800458,"1_0_310_16fa","1_0_310_16fa_TIAM",14,2,1,12,0.830516535092279,-1.43333240566844,-0.127264401375417,-1.23293275386211,0.182544558141916,-0.951260365764085
"3749","TIAM",1,301,1009,0.48,0.36,5,6,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_301","1_1","1_1_301_TIAM",4991.15999981696,1866.76849119871,3124.39150861825,"1_1_301_16fa","1_1_301_16fa_TIAM",15,6,5,9,0.73065258222748,-1.42485672131833,-0.704515274952239,0.0482747874860802,-0.188101771360311,0.147699762481336
"3751","TIAM",2,209,9018,0.46,0.92,4,5,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_1_209","2_1","2_1_209_TIAM",4358.32970985404,928.75807255805,3429.57163729599,"2_1_209_16fa","2_1_209_16fa_TIAM",18,5,4,13,0.446739446242871,-1.07798952307613,-1.50550396942687,-0.1643495895796,0.287238114337081,-0.332358117077464
"3752","TIAM",3,302,2012,0.1,0.5,3,3,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_302","3_1","3_1_302_TIAM",5709.4173428032,2124.09498763354,3585.32235516966,"3_1_302_16fa","3_1_302_16fa_TIAM",14,6,5,8,0.783184929116611,-0.912687898609505,0.0897926078828768,0.0482747874860802,-0.336946311916534,-0.951260365764085
"3754","TIAM",1,504,4024,0.86,0.38,5,0,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_504","1_1","1_1_504_TIAM",5731.58252468845,2119.35523888656,3612.22728580189,"1_1_504_16fa","1_1_504_16fa_TIAM",33,19,18,14,0.782276154560927,-0.88486220312575,0.112683902323635,1.39253581216569,0.38470548334162,0.147699762481336
"3755","TIAM",2,309,9019,0.16,0.74,3,0,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_309","2_0","2_0_309_TIAM",7136.78219979527,1230.73575848942,5906.04644130585,"2_0_309_16fa","2_0_309_16fa_TIAM",17,11,10,6,0.561210324228876,0.945026557117615,1.40810915569036,0.755153611458568,-0.691982355343899,-0.951260365764085
"3756","TIAM",2,106,6008,0.31,0.14,6,0,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_106","2_0","2_0_106_TIAM",5094.83397384103,905.50061611686,4189.33335772417,"2_0_106_16fa","2_0_106_16fa_TIAM",17,3,2,14,0.436429034979412,-0.333210460733244,-0.583056519296645,-0.760077170850629,0.38470548334162,0.539935609929693
"3759","TIAM",1,209,9023,0.94,0.08,5,5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_209","1_0","1_0_209_TIAM",6443.4524465012,2800.82067681488,3642.63176968632,"1_0_209_16fa","1_0_209_16fa_TIAM",23,9,8,14,0.895701279955818,-0.853665550568382,0.804337368034663,0.521130370497566,0.38470548334162,0.147699762481336
"3760","TIAM",1,209,9022,0.25,0.56,4,5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_209","1_0","1_0_209_TIAM",6443.4524465012,2800.82067681488,3642.63176968632,"1_0_209_16fa","1_0_209_16fa_TIAM",23,9,8,14,0.895701279955818,-0.853665550568382,0.804337368034663,0.521130370497566,0.38470548334162,-0.332358117077464
"3761","TIAM",1,504,4033,0.48,0.72,3,3,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_504","1_1","1_1_504_TIAM",5731.58252468845,2119.35523888656,3612.22728580189,"1_1_504_16fa","1_1_504_16fa_TIAM",33,19,18,14,0.782276154560927,-0.88486220312575,0.112683902323635,1.39253581216569,0.38470548334162,-0.951260365764085
"3765","TIAM",2,101,1016,0.3,0.95,5,0,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_101","2_0","2_0_101_TIAM",4615.8242920832,1385.16005335149,3230.66423873171,"2_0_101_16fa","2_0_101_16fa_TIAM",21,7,6,14,0.609282321005656,-1.30036520466724,-1.16638171392352,0.22804613679264,0.38470548334162,0.147699762481336
"3768","TIAM",3,504,4011,0.93,0.13,3,3,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_0_504","3_0","3_0_504_TIAM",4424.55538922026,1272.82696889418,3151.72842032608,"3_0_504_16fa","3_0_504_16fa_TIAM",11,8,7,3,0.574886082183258,-1.39243338059179,-1.41640761356466,0.383771162811304,-1.4825608213204,-0.951260365764085
"3769","TIAM",1,107,7015,0.83,0.35,4,4,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_107","1_1","1_1_107_TIAM",4885.18552816548,1118.61276608072,3766.57276208476,"1_1_107_16fa","1_1_107_16fa_TIAM",22,7,6,15,0.522365641502648,-0.729133626925044,-0.831305024012777,0.22804613679264,0.475880118041563,-0.332358117077464
